Date,Price,Open,High,Low,Vol.
Dec 02 2022,17093.60,16972.20,17096.20,16799.90,227.01K
Dec 01 2022,16972.00,17163.40,17244.70,16868.90,266.14K
Nov 30 2022,17163.90,16440.80,17215.50,16433.20,348.22K
Nov 29 2022,16440.40,16211.90,16531.40,16100.10,271.58K
Nov 28 2022,16211.70,16426.10,16481.40,16013.50,284.84K
Nov 27 2022,16425.60,16456.40,16595.40,16414.60,173.25K
Nov 26 2022,16456.50,16512.30,16686.30,16387.90,194.94K
Nov 25 2022,16512.30,16600.60,16611.80,16360.90,204.07K
Nov 24 2022,16601.20,16604.90,16785.60,16472.00,229.59K
Nov 23 2022,16623.90,16216.90,16677.60,16162.30,305.08K
Nov 22 2022,16212.90,15776.60,16274.60,15620.40,287.21K
Nov 21 2022,15776.20,16278.60,16287.90,15504.20,372.15K
Nov 20 2022,16286.70,16699.30,16749.30,16209.20,172.83K
Nov 19 2022,16699.20,16652.20,16814.90,16608.90,114.89K
Nov 18 2022,16638.30,16715.40,16846.30,16553.00,241.96K
Nov 17 2022,16691.20,16540.50,16739.70,16425.80,257.00K
Nov 16 2022,16540.50,16895.40,16993.40,16408.20,295.73K
Nov 15 2022,16895.10,16615.00,17112.00,16543.90,337.15K
Nov 14 2022,16613.70,16325.00,17158.40,15834.00,442.46K
Nov 13 2022,16324.50,16803.90,16946.50,16274.90,210.80K
Nov 12 2022,16795.20,17049.90,17100.80,16633.90,192.91K
Nov 11 2022,17049.90,17589.10,17679.40,16435.50,466.35K
Nov 10 2022,17589.10,15887.00,18138.20,15799.30,720.74K
Nov 09 2022,15886.90,18538.90,18583.80,15603.30,869.57K
Nov 08 2022,18527.40,20589.00,20667.50,17260.00,865.10K
Nov 07 2022,20589.00,20916.30,21055.40,20410.50,414.24K
Nov 06 2022,20916.30,21298.70,21360.40,20901.00,242.26K
Nov 05 2022,21301.60,21145.70,21464.70,21084.10,261.23K
Nov 04 2022,21145.90,20206.40,21281.90,20184.60,499.50K
Nov 03 2022,20206.40,20154.00,20384.50,20066.60,347.23K
Nov 02 2022,20154.40,20482.90,20778.30,20065.80,420.23K
Nov 01 2022,20483.50,20496.10,20676.60,20348.10,302.72K
Oct 31 2022,20496.30,20626.00,20822.40,20260.00,327.47K
Oct 30 2022,20626.30,20809.40,20922.30,20522.50,207.63K
Oct 29 2022,20809.80,20594.20,21038.10,20561.90,276.54K
Oct 28 2022,20594.40,20293.00,20744.00,20058.20,318.90K
Oct 27 2022,20292.90,20769.50,20867.90,20231.60,365.49K
Oct 26 2022,20769.50,20086.80,20981.50,20062.90,427.99K
